exp_id,true_r,true_i0,true_N,rho_true,true_label,majority_vote,correct,x_count,o_count,n_replicates,per_replicate_labels
exp001,1.2373,1,15,0.19999,O,O,1,3,17,20,"O,O,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,O,O,O"
exp001,1.0715,2,15,0.19998,O,O,1,7,13,20,"O,O,X,O,X,O,O,O,X,X,X,O,O,O,O,X,X,O,O,O"
exp001,1.0,3,15,0.2,O,T,0,10,10,20,"O,X,O,O,O,X,X,X,X,O,O,O,X,O,X,O,X,X,X,O"
exp001,1.7092,3,15,0.799985,X,X,1,16,4,20,"X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X"
exp001,0.9526,4,15,0.200032,O,O,1,8,12,20,"O,O,O,X,O,X,X,X,O,X,O,O,O,X,O,O,O,X,O,X"
exp001,1.4917,4,15,0.800022,X,X,1,19,1,20,"X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X"
exp001,0.9147,5,15,0.19997,O,O,1,9,11,20,"X,X,O,O,X,O,O,O,X,O,X,X,O,O,X,O,X,X,O,O"
exp001,1.3701,5,15,0.799981,X,X,1,16,4,20,"X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X"
exp001,0.8809,6,15,0.200009,O,O,1,5,15,20,"O,O,O,O,X,O,X,O,O,X,O,X,O,O,O,O,O,O,X,O"
exp001,1.2893,6,15,0.799983,X,X,1,16,4,20,"X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,O"
exp001,0.848,7,15,0.199941,O,O,1,4,16,20,"O,O,O,O,X,O,O,O,O,X,O,O,X,O,O,O,X,O,O,O"
exp001,1.2288,7,15,0.799989,X,X,1,17,3,20,"X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O"
exp001,0.8138,8,15,0.200008,O,O,1,4,16,20,"X,O,O,O,O,X,O,O,O,O,X,O,O,X,O,O,O,O,O,O"
exp001,1.1792,8,15,0.800011,X,X,1,18,2,20,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X"
exp001,0.7756,9,15,0.199997,O,O,1,3,17,20,"X,O,O,O,O,O,O,O,X,O,O,X,O,O,O,O,O,O,O,O"
exp001,1.1352,9,15,0.799988,X,X,1,13,7,20,"X,X,X,X,X,O,X,X,O,O,O,X,X,X,X,X,O,O,X,O"
exp001,0.7299,10,15,0.200053,O,O,1,6,14,20,"X,O,O,O,X,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O"
exp001,1.0932,10,15,0.799965,X,X,1,13,7,20,"X,O,X,X,O,O,X,O,O,X,X,X,X,X,X,X,O,O,X,X"
exp001,0.6704,11,15,0.200006,O,O,1,4,16,20,"O,O,O,O,X,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O"
exp001,1.0498,11,15,0.800018,X,X,1,13,7,20,"X,O,X,X,X,O,X,O,O,X,X,X,X,X,O,X,O,O,X,X"
exp001,0.5851,12,15,0.200046,O,O,1,6,14,20,"O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,O,O,O,O,O"
exp001,1.0,12,15,0.8,X,X,1,13,7,20,"O,O,X,X,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X"
