exp_id,true_r,true_i0,true_N,rho_true,true_label,majority_vote,correct,x_count,o_count,n_replicates,per_replicate_labels
exp001,1.6661,1,15,0.399985,O,O,1,8,12,20,"X,X,X,O,X,O,X,O,O,O,O,O,X,O,O,O,O,O,X,X"
exp001,1.2806,2,15,0.400012,O,T,0,10,10,20,"X,O,X,X,X,O,X,O,O,X,X,O,O,O,X,X,O,O,X,O"
exp001,1.5799,2,15,0.600002,X,X,1,12,8,20,"X,X,X,X,O,O,O,X,O,O,X,O,X,X,X,X,O,X,X,O"
exp001,1.1577,3,15,0.399991,O,O,1,8,12,20,"O,X,X,O,O,O,O,X,O,X,X,O,O,O,O,O,X,X,O,X"
exp001,1.3497,3,15,0.599964,X,X,1,15,5,20,"X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,O,X,O,O"
exp001,1.0887,4,15,0.399977,O,T,0,10,10,20,"O,X,O,X,O,O,O,X,X,X,X,O,O,O,X,X,O,O,X,X"
exp001,1.2392,4,15,0.599977,X,X,1,14,6,20,"O,X,X,X,X,O,O,X,X,X,X,X,X,O,O,O,X,X,X,X"
exp001,1.0398,5,15,0.400067,O,O,1,8,12,20,"X,X,O,O,O,X,O,X,O,X,X,O,O,O,O,X,O,O,X,O"
exp001,1.1693,5,15,0.599965,X,X,1,13,7,20,"X,X,X,X,O,X,O,X,X,X,O,X,X,O,X,O,O,X,O,X"
exp001,1.0,6,15,0.4,O,X,0,11,9,20,"X,O,O,O,X,O,X,O,X,X,X,X,O,O,X,X,X,O,X,O"
exp001,1.1176,6,15,0.60001,X,X,1,13,7,20,"X,O,X,O,X,O,X,X,X,X,X,X,X,O,O,O,X,O,X,X"
exp001,0.9645,7,15,0.400007,O,X,0,12,8,20,"X,X,O,X,O,X,X,O,O,X,O,X,O,X,O,X,X,O,X,X"
exp001,1.075,7,15,0.600037,X,X,1,12,8,20,"X,O,X,X,O,O,X,X,X,O,O,X,O,X,X,O,X,X,X,O"
exp001,0.9303,8,15,0.400092,O,O,1,6,14,20,"X,O,O,O,O,O,O,O,X,X,X,X,O,O,X,O,O,O,O,O"
exp001,1.0368,8,15,0.599982,X,T,0,10,10,20,"X,O,O,O,X,O,O,X,X,X,O,O,O,X,X,O,O,X,X,X"
exp001,0.8948,9,15,0.400038,O,O,1,7,13,20,"X,O,O,O,O,O,X,O,O,X,O,O,X,O,X,O,O,X,O,X"
exp001,1.0,9,15,0.6,X,O,0,9,11,20,"X,O,O,O,X,O,X,O,O,X,X,X,O,X,X,O,O,X,O,O"
exp001,0.8552,10,15,0.400012,O,O,1,6,14,20,"X,O,O,O,O,O,X,O,O,O,O,O,O,O,X,X,X,O,X,O"
exp001,0.9618,10,15,0.600072,X,X,1,13,7,20,"X,O,O,O,X,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O"
exp001,0.807,11,15,0.40007,O,X,0,12,8,20,"O,X,O,O,X,X,X,X,O,O,X,X,X,X,X,O,O,X,O,X"
exp001,0.9185,11,15,0.599975,X,X,1,11,9,20,"X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,O,X"
exp001,0.7409,12,15,0.400028,O,O,1,9,11,20,"O,O,X,O,X,O,O,O,O,X,X,O,X,X,X,O,X,O,X,O"
exp001,0.8638,12,15,0.60004,X,X,1,15,5,20,"X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,O"
exp001,0.633,13,15,0.400059,O,O,1,9,11,20,"O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,O,X"
exp001,0.7809,13,15,0.60001,X,O,0,9,11,20,"O,O,O,X,O,O,O,O,X,X,X,X,O,O,X,X,O,X,O,X"
exp001,0.4,14,15,0.399999,O,O,1,8,12,20,"X,X,X,X,O,O,O,X,X,O,O,O,O,O,O,O,X,X,O,O"
exp001,0.6002,14,15,0.600011,X,O,0,8,12,20,"O,O,X,O,X,O,O,O,O,X,X,O,O,X,X,X,O,O,O,X"
