run_id,step,birth_index,birth_type,death_index,death_type,event,mutants_before,mutants_after,N,true_r,true_i0
exp002_run02,0,3,A,3,A,3A:3A,13,13,22,1.3,13
exp002_run02,3,8,A,16,B,8A:16B,14,15,22,1.3,13
exp002_run02,6,18,B,9,A,18B:9A,13,12,22,1.3,13
exp002_run02,9,5,A,2,A,5A:2A,12,12,22,1.3,13
exp002_run02,12,12,A,3,A,12A:3A,11,11,22,1.3,13
exp002_run02,15,0,A,14,B,0A:14B,11,12,22,1.3,13
exp002_run02,18,21,B,12,A,21B:12A,12,11,22,1.3,13
exp002_run02,21,3,A,9,A,3A:9A,12,12,22,1.3,13
exp002_run02,24,8,A,8,A,8A:8A,13,13,22,1.3,13
exp002_run02,27,6,A,2,B,6A:2B,14,15,22,1.3,13
exp002_run02,30,6,A,15,A,6A:15A,15,15,22,1.3,13
exp002_run02,33,6,A,3,A,6A:3A,16,16,22,1.3,13
exp002_run02,36,6,A,2,A,6A:2A,16,16,22,1.3,13
exp002_run02,39,7,A,4,A,7A:4A,17,17,22,1.3,13
exp002_run02,42,10,B,8,A,10B:8A,16,15,22,1.3,13
exp002_run02,45,15,A,21,B,15A:21B,15,16,22,1.3,13
exp002_run02,48,12,A,19,A,12A:19A,17,17,22,1.3,13
exp002_run02,51,9,A,19,A,9A:19A,16,16,22,1.3,13
exp002_run02,54,5,A,14,A,5A:14A,16,16,22,1.3,13
exp002_run02,57,21,A,7,A,21A:7A,16,16,22,1.3,13
exp002_run02,60,9,A,17,A,9A:17A,16,16,22,1.3,13
exp002_run02,63,5,A,13,A,5A:13A,15,15,22,1.3,13
exp002_run02,66,9,A,4,A,9A:4A,14,14,22,1.3,13
exp002_run02,69,5,A,7,A,5A:7A,14,14,22,1.3,13
exp002_run02,72,19,A,16,A,19A:16A,14,14,22,1.3,13
exp002_run02,75,5,A,10,A,5A:10A,13,13,22,1.3,13
exp002_run02,78,13,A,8,A,13A:8A,15,15,22,1.3,13
exp002_run02,81,16,A,11,A,16A:11A,16,16,22,1.3,13
exp002_run02,84,18,B,20,A,18B:20A,15,14,22,1.3,13
exp002_run02,87,8,A,15,A,8A:15A,15,15,22,1.3,13
exp002_run02,90,4,A,11,A,4A:11A,15,15,22,1.3,13
exp002_run02,93,14,A,7,A,14A:7A,16,16,22,1.3,13
exp002_run02,96,6,A,10,A,6A:10A,14,14,22,1.3,13
exp002_run02,99,20,B,11,A,20B:11A,15,14,22,1.3,13
exp002_run02,102,12,B,8,B,12B:8B,12,12,22,1.3,13
exp002_run02,105,11,B,11,B,11B:11B,12,12,22,1.3,13
exp002_run02,108,3,B,4,A,3B:4A,11,10,22,1.3,13
exp002_run02,111,13,A,0,A,13A:0A,11,11,22,1.3,13
exp002_run02,114,5,B,4,A,5B:4A,13,12,22,1.3,13
exp002_run02,117,15,A,2,A,15A:2A,13,13,22,1.3,13
exp002_run02,120,3,A,19,A,3A:19A,12,12,22,1.3,13
exp002_run02,123,20,B,16,A,20B:16A,12,11,22,1.3,13
exp002_run02,126,13,A,20,B,13A:20B,12,13,22,1.3,13
exp002_run02,129,20,A,2,A,20A:2A,13,13,22,1.3,13
exp002_run02,132,9,B,21,A,9B:21A,11,10,22,1.3,13
exp002_run02,135,13,B,10,A,13B:10A,9,8,22,1.3,13
exp002_run02,138,5,B,19,A,5B:19A,7,6,22,1.3,13
exp002_run02,141,3,A,8,B,3A:8B,5,6,22,1.3,13
exp002_run02,144,0,B,10,B,0B:10B,5,5,22,1.3,13
exp002_run02,147,4,B,6,A,4B:6A,5,4,22,1.3,13
exp002_run02,150,17,B,7,B,17B:7B,4,4,22,1.3,13
exp002_run02,153,3,A,0,B,3A:0B,5,6,22,1.3,13
exp002_run02,156,0,B,11,B,0B:11B,5,5,22,1.3,13
exp002_run02,159,20,B,5,B,20B:5B,5,5,22,1.3,13
exp002_run02,162,9,A,18,B,9A:18B,6,7,22,1.3,13
exp002_run02,165,18,A,4,B,18A:4B,7,8,22,1.3,13
exp002_run02,168,2,B,8,A,2B:8A,10,9,22,1.3,13
exp002_run02,171,13,B,10,B,13B:10B,9,9,22,1.3,13
exp002_run02,174,11,A,18,A,11A:18A,9,9,22,1.3,13
exp002_run02,177,7,B,21,B,7B:21B,9,9,22,1.3,13
exp002_run02,180,19,A,2,B,19A:2B,8,9,22,1.3,13
exp002_run02,183,15,B,7,B,15B:7B,7,7,22,1.3,13
exp002_run02,186,3,A,10,B,3A:10B,7,8,22,1.3,13
exp002_run02,189,12,B,6,B,12B:6B,10,10,22,1.3,13
exp002_run02,192,13,A,11,A,13A:11A,10,10,22,1.3,13
