exp_id,true_r,true_i0,true_N,rho_true,true_label,majority_vote,correct,x_count,o_count,n_replicates,per_replicate_labels
exp001,1.2462,1,15,0.205115,O,O,1,4,16,20,"O,O,O,O,O,O,O,X,X,O,O,O,X,O,O,O,O,X,O,O"
exp001,1.0965,2,15,0.224693,O,O,1,7,13,20,"O,O,X,O,X,O,O,O,X,X,X,O,O,O,O,X,X,O,O,O"
exp001,1.037,3,15,0.245786,O,O,1,8,12,20,"O,X,O,X,O,O,O,O,X,X,X,O,O,O,O,O,X,X,X,O"
exp001,1.7099,3,15,0.80023,X,X,1,16,4,20,"X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,O,X"
exp001,1.0,4,15,0.266667,O,O,1,9,11,20,"O,X,O,X,O,X,X,X,X,X,O,O,O,X,O,O,O,O,X,O"
exp001,1.4949,4,15,0.801686,X,X,1,19,1,20,"X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X"
exp001,0.9723,5,15,0.287759,O,X,0,13,7,20,"X,X,X,O,O,X,O,O,X,X,X,X,X,O,X,O,X,X,X,O"
exp001,1.3779,5,15,0.80524,X,X,1,16,4,20,"X,X,X,X,X,O,X,X,X,X,X,X,O,O,O,X,X,X,X,X"
exp001,1.3034,6,15,0.811286,X,X,1,18,2,20,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O"
exp001,1.2505,7,15,0.819533,X,X,1,17,3,20,"X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O"
exp001,0.9093,8,15,0.360322,O,O,1,9,11,20,"X,O,O,O,O,O,O,X,X,X,X,X,O,O,X,O,O,X,O,X"
exp001,1.21,8,15,0.829933,X,X,1,18,2,20,"X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X"
exp001,0.8902,9,15,0.391308,O,O,1,7,13,20,"X,O,O,O,O,O,X,O,O,X,O,O,X,O,X,O,O,X,O,X"
exp001,1.177,9,15,0.842412,X,X,1,19,1,20,"X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X"
exp001,0.8706,10,15,0.428664,O,T,0,10,10,20,"X,O,O,O,O,O,X,O,O,X,X,X,O,X,X,O,O,X,X,X"
exp001,1.1487,10,15,0.857144,X,X,1,14,6,20,"X,X,X,X,X,O,O,X,O,X,X,X,O,O,X,O,X,X,X,X"
exp001,0.8496,11,15,0.475532,O,O,1,9,11,20,"O,O,O,O,X,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X"
exp001,1.1234,11,15,0.874642,X,X,1,13,7,20,"X,X,X,X,X,O,X,O,X,O,O,O,X,X,O,X,X,X,X,O"
exp001,0.8265,12,15,0.538087,X,X,1,11,9,20,"O,X,O,X,O,X,X,X,X,O,O,O,X,X,X,O,X,X,O,O"
exp001,1.0998,12,15,0.895677,X,X,1,11,9,20,"X,O,O,O,X,X,X,X,O,O,X,X,X,X,X,O,O,O,O,X"
exp001,0.7997,13,15,0.626451,X,O,0,3,17,20,"O,O,O,X,O,O,O,X,O,O,O,O,O,O,O,O,O,O,X,O"
exp001,1.0768,13,15,0.921587,X,O,0,7,13,20,"O,X,O,O,X,X,X,O,O,O,O,X,X,O,O,O,O,X,O,O"
exp001,0.7673,14,15,0.762838,X,O,0,2,18,20,"O,O,O,O,O,O,O,O,O,O,X,O,O,O,O,X,O,O,O,O"
exp001,1.0535,14,15,0.954865,X,O,0,3,17,20,"O,O,O,O,O,X,O,O,X,O,O,O,O,O,X,O,O,O,O,O"
