exp_id,true_r,true_i0,true_N,rho_true,true_label,majority_vote,correct,x_count,o_count,n_replicates,per_replicate_labels
exp001,1.0892,1,20,0.100002,O,O,1,7,13,20,"O,O,O,O,X,O,O,X,X,X,O,O,X,O,O,O,X,X,O,O"
exp001,1.0,2,20,0.1,O,O,1,7,13,20,"X,O,O,O,X,O,O,X,O,X,O,X,X,O,X,O,O,O,O,O"
exp001,0.9569,3,20,0.099957,O,O,1,5,15,20,"O,X,O,O,O,O,X,X,O,X,O,O,O,O,O,O,O,O,X,O"
exp001,0.9273,4,20,0.099991,O,O,1,4,16,20,"O,O,O,X,O,O,X,O,X,O,X,O,O,O,O,O,O,O,O,O"
exp001,1.7782,4,20,0.899991,X,X,1,17,3,20,"X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X"
exp001,0.9035,5,20,0.09998,O,O,1,6,14,20,"O,O,X,X,O,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X"
exp001,1.5846,5,20,0.899998,X,X,1,20,0,20,"X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X"
exp001,0.8826,6,20,0.10001,O,O,1,7,13,20,"O,O,O,X,O,O,X,O,X,X,O,O,O,X,O,O,O,O,X,X"
exp001,1.4668,6,20,0.900014,X,X,1,17,3,20,"X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X"
exp001,0.863,7,20,0.100024,O,O,1,6,14,20,"O,O,O,O,X,O,X,X,O,O,X,X,O,O,O,X,O,O,O,O"
exp001,1.3869,7,20,0.899981,X,X,1,18,2,20,"X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X"
exp001,0.8437,8,20,0.100034,O,O,1,7,13,20,"O,X,O,O,O,O,X,X,O,O,O,O,O,O,O,X,X,X,O,X"
exp001,1.3285,8,20,0.900005,X,X,1,19,1,20,"X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X"
exp001,0.8239,9,20,0.100052,O,O,1,5,15,20,"O,X,O,O,O,O,O,X,X,O,O,O,O,O,X,O,O,O,X,O"
exp001,1.283,9,20,0.900002,X,X,1,19,1,20,"X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X"
exp001,0.8027,10,20,0.099953,O,O,1,2,18,20,"O,X,O,O,O,O,O,O,O,O,O,O,O,O,O,O,X,O,O,O"
exp001,1.2457,10,20,0.899978,X,X,1,18,2,20,"X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O"
exp001,0.7794,11,20,0.099973,O,O,1,4,16,20,"O,X,O,O,O,O,O,O,O,O,O,O,X,O,X,O,O,O,O,X"
